img|n_rooms|n_bathrooms|area|zipcode|price
1613|5|3.0|2533|94565|540000
1656|3|2.0|1640|93446|425000
1580|4|2.0|1881|96019|245000
1721|4|3.5|3029|91901|825000
1581|2|2.0|1240|92276|117000
1732|3|2.0|1201|62088|119000
1892|4|3.0|2825|91752|549900
1615|4|3.0|2312|94531|419000
2044|4|3.0|2174|81524|439900
1843|4|3.0|2840|95220|799900
1554|3|2.0|1482|92276|158888
1694|3|1.5|1400|95008|999000
1637|2|2.0|1536|92276|69900
1766|2|2.0|1344|92276|117500
1832|4|3.5|5050|95220|1600000
1786|3|2.0|3326|93510|549000
1889|3|2.0|1789|94501|895000
1902|2|1.0|805|94501|625000
1840|2|1.0|839|92677|324999
2023|2|2.0|1344|92276|67500
1948|6|4.0|4311|92880|695000
1717|2|2.0|2024|92276|214900
1638|3|2.0|1376|92276|174900
1901|3|2.0|1170|93446|235000
1702|4|3.0|2987|93510|615000
1776|5|3.5|4560|62025|520000
1904|3|2.5|2248|92677|5322000
1765|2|2.0|960|92276|61000
1997|4|3.0|1613|91901|749900
1817|3|2.5|1915|92021|485000
1914|4|2.0|2128|81524|249900
1967|2|1.0|1320|93510|520000
1808|2|1.5|1800|92276|163000
1870|4|3.0|2774|93510|599500
1969|3|2.5|2125|92677|728000
1647|7|7.0|3265|92677|1200000
2014|2|2.0|1344|92276|1151000
1588|4|3.0|2118|93446|489900
1878|3|3.5|2792|85255|799900
1562|3|3.0|2136|93446|689000
1884|4|2.0|2250|93314|310000
1563|2|2.0|1152|92276|99900
1664|8|6.0|5900|92040|1350000
1957|2|2.0|1248|92276|103500
1660|4|2.5|3115|93446|629000
1741|4|4.0|3220|93510|699000
1888|6|4.0|3705|93510|765000
1872|2|1.0|1000|92276|67000
1725|3|2.0|1469|93446|299900
1585|2|2.0|900|93446|125000
1879|4|3.5|3768|62234|254900
1752|3|2.0|1712|93446|310000
1791|4|2.5|2699|93446|629000
1827|2|2.0|1624|92276|185000
1804|4|3.0|3904|81418|419000
1899|3|2.0|1454|92276|122500
